id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
723727310774371651,Condo in Winnipeg · 1 bedroom · 1 bed · 1 shared bath,480947763,Hari,,Elmwood - East Kildonan,49.92531,-97.04965,Private room,50,1,0,,,1,364,0,
727434855429225184,Home in Winnipeg · ★4.74 · 3 bedrooms · 3 beds · 2 baths,466050732,Princess,,Daniel McIntyre,49.90019,-97.16441,Entire home/apt,91,1,19,2023-11-24,1.31,5,88,17,
742140219616542613,Condo in Winnipeg · 1 bedroom · 1 bed · 1 bath,22029072,Fernando,,Waverley West,49.79865461593615,-97.1971614772461,Entire home/apt,,2,2,2022-11-27,0.15,1,0,0,
742949423468209478,Home in Winnipeg · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,374292404,Samuel,,Point Douglas,49.91753,-97.20766,Private room,58,2,32,2023-12-04,2.39,13,179,29,
783238113599712970,Home in Winnipeg · ★3.60 · 1 bedroom · 1 bed · 1 bath,81768434,Peggie,,St. Norbert - Seine River,49.807900242719754,-97.10988510963108,Private room,37,1,5,2023-11-04,2.03,3,255,5,
794093252719580225,Home in Winnipeg · 1 bedroom · 1 bed · 1 shared bath,493612985,Star,,Waverley West,49.8068149,-97.16427,Private room,,3,0,,,1,0,0,
805741681709084472,Home in Winnipeg · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,314955795,Afeez,,Waverley West,49.77647,-97.18156,Private room,43,2,16,2023-11-28,1.50,4,343,16,
816389026307840548,Guest suite in Winnipeg · ★4.14 · 2 bedrooms · 2 beds · 1 bath,361310476,Gustave,,Daniel McIntyre,49.90372,-97.17547,Entire home/apt,,1,14,2023-04-09,1.35,3,0,14,
822017247851622570,Townhouse in Winnipeg · ★4.86 · 1 bedroom · 1 bed · 1 private bath,323919511,Owen,,Waverley West,49.7968983,-97.17131049999999,Private room,60,1,105,2023-12-09,10.16,1,344,105,
822916472654973114,Rental unit in Winnipeg · 2 bedrooms · 2 beds · 1 bath,482635349,Temitope,,Point Douglas,49.90156,-97.15615,Entire home/apt,69,1,2,2023-07-27,0.24,7,39,2,
837783821497477340,Home in Winnipeg · ★4.67 · 3 bedrooms · 3 beds · 1 bath,312790559,Raed,,St. James,49.8860059,-97.30467949999999,Entire home/apt,120,2,24,2023-11-26,2.56,3,149,24,
857166572080229881,Home in Winnipeg · ★4.50 · 3 bedrooms · 3 beds · 1 bath,32686835,Rajbir,,Old Kildonan,49.97376,-97.11679,Entire home/apt,199,2,10,2023-11-19,1.15,1,365,10,
861183918874570348,Home in Winnipeg · ★4.30 · 1 bedroom · 1 bed · 1 shared bath,348144031,Sheriff,,Elmwood - East Kildonan,49.9187127,-97.09394119999999,Private room,45,1,10,2023-10-31,1.20,5,209,10,
864813390185701716,Home in Winnipeg · ★4.36 · 3 bedrooms · 3 beds · 2.5 baths,482635349,Temitope,,St. Boniface,49.8782662,-97.1082217,Entire home/apt,145,1,11,2023-10-22,1.40,7,136,11,
875917643197393103,Home in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 bath,450443849,Monissh,,Daniel McIntyre,49.8813438,-97.16992959999999,Private room,32,2,14,2023-12-13,1.79,4,356,14,
909524946263941800,Rental unit in Winnipeg · 1 bedroom · 1 bed · 1 private bath,385501619,Chris,,Waverley West,49.80751119188259,-97.17453255482381,Private room,53,1,2,2023-11-29,2,2,363,2,
915485194830400887,Villa in Winnipeg · Studio · 1 bed · 0 baths,520422090,Jun,,Waverley West,49.786951057085105,-97.1857503631062,Private room,40,1,0,,,1,365,0,
935538479754365693,Home in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,217502979,Blue Bell Properties,,River Heights - Fort Garry,49.86703379999999,-97.1638567,Entire home/apt,104,1,5,2023-11-25,1.07,5,176,5,
944245601805798117,Rental unit in Winnipeg · 1 bedroom · 1 bed · Half-bath,38761552,Marikit,,St. James,49.88280748446739,-97.20732306137695,Private room,,1,0,,,1,269,0,
968119479849857652,Home in Winnipeg · 2 bedrooms · 2 beds · 1 bath,534330936,Sunday,,Transcona,49.901614470839846,-97.06370305269957,Entire home/apt,,1,0,,,1,0,0,
979833087547970904,Home in Winnipeg · ★4.25 · 4 bedrooms · 6 beds · 2 baths,190173415,Daniell,,Daniel McIntyre,49.90298016799475,-97.16564962393457,Entire home/apt,137,1,3,2023-11-19,1.15,3,0,3,
986920202060021070,Rental unit in Winnipeg · 1 bedroom · 1 bed · 1 bath,538224257,E Street,,Point Douglas,49.90611925356382,-97.16289327765317,Entire home/apt,69,2,0,,,19,225,0,
989082322047892194,Home in Winnipeg · 1 bedroom · 1 bed · 1 shared bath,538622174,Aneka,,Elmwood - East Kildonan,49.9104935,-97.12191159999999,Private room,44,1,2,2023-10-26,0.92,4,269,2,
998096957533464259,Home in Winnipeg · ★New · 1 bedroom · 1 bed · 1 private bath,290284967,Muntaqeem,,St. Norbert - Seine River,49.81834193785002,-97.09324718290019,Private room,49,1,2,2023-11-29,1.03,4,258,2,
1003011057655661934,Home in Winnipeg · ★New · Studio · 1 bed · 1 bath,36125863,Paul,,St. Vital,49.86513232888008,-97.09996709427261,Entire home/apt,70,3,0,,,8,270,0,
1011758717365584383,Home in Winnipeg · ★New · 2 bedrooms · 2 beds · 1 bath,217502979,Blue Bell Properties,,Fort Rouge - East Fort Garry,49.86150071349486,-97.13473087445347,Entire home/apt,79,1,0,,,5,262,0,
1045853617744389532,Rental unit in Winnipeg · ★New · 1 bedroom · 1 bed · 1 bath,387441461,Salvatory,,Waverley West,49.81660249999999,-97.1495257,Entire home/apt,85,1,0,,,2,238,0,
902342142987532492,Home in Winnipeg · 2 bedrooms · 2 beds · 1 bath,465211069,Ishan,,Waverley West,49.79619,-97.2016,Private room,,1,0,,,1,0,0,
30176641,Home in Winnipeg · ★4.67 · 1 bedroom · 1 bed · 1 private bath,226695089,Henry,,Fort Rouge - East Fort Garry,49.86276,-97.13414,Private room,80,1,76,2023-06-20,1.24,1,336,5,
