id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41397857,Guest suite in Québec · ★4.92 · 2 bedrooms · 2 beds · 1 bath,82277837,Mélanie,,Val-Bélair,46.83292770385742,-71.40441131591797,Entire home/apt,86,1,206,2023-10-07,4.38,1,257,42,"301439, expires: 2024-04-30"
41403592,Rental unit in Québec · ★5.0 · 2 bedrooms · 2 beds · 1 bath,38459934,Corporate Stays,,Cité Universitaire,46.77888,-71.30696,Entire home/apt,135,31,4,2023-10-22,0.14,20,88,1,
41457231,Rental unit in Québec · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Cité Universitaire,46.77917,-71.30624,Entire home/apt,120,31,2,2021-09-17,0.04,20,74,0,
41457308,Rental unit in Québec · ★5.0 · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Cité Universitaire,46.77823,-71.30593,Entire home/apt,120,31,3,2022-12-15,0.08,20,74,1,
41495682,Loft in Québec · ★4.56 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.81603,-71.21884,Entire home/apt,71,1,239,2023-12-08,5.05,14,231,67,"295613, expires: 2024-01-31"
41499226,Condo in Québec · ★5.0 · 3 bedrooms · 3 beds · 1 bath,326728131,Melanie,,Saint-Sauveur,46.81191,-71.23183,Entire home/apt,439,5,39,2023-09-04,0.84,1,15,10,"302624, expires: 2024-08-01T00:00:00Z"
41508588,Rental unit in Québec · ★4.64 · Studio · 2 beds · 1 bath,326923260,Fred,,Saint-Jean-Baptiste,46.81096,-71.21878,Entire home/apt,30,31,78,2023-09-09,1.67,1,31,40,
41563977,Loft in Québec · ★4.64 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.81542,-71.21922,Entire home/apt,71,1,225,2023-12-10,4.77,14,0,76,"295613, expires: 2024-01-31"
41619305,Rental unit in Québec · ★4.43 · 1 bedroom · 2 beds · 1 bath,376275905,Gdp,,Saint-Roch,46.81603,-71.22016,Entire home/apt,82,1,234,2023-12-10,4.95,14,215,58,"295613, expires: 2024-01-31"
41636411,Rental unit in Québec · ★5.0 · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Cité Universitaire,46.77846,-71.30556,Entire home/apt,113,31,5,2021-10-23,0.11,20,74,0,
41656067,Loft in Québec · ★4.52 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.81478,-71.2208,Entire home/apt,67,1,131,2023-12-09,2.77,14,175,39,"295613, expires: 2024-01-31"
41676523,Home in Québec · ★4.80 · 1 bedroom · 1 bed · 1 bath,132323459,Maryse,,Montcalm,46.7992225,-71.2368707,Entire home/apt,60,1,239,2023-12-10,6.01,2,0,122,"308017, expires: 2023-12-31"
41681109,Loft in Québec · ★4.57 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.81657,-71.22043,Entire home/apt,80,1,387,2023-12-10,8.23,14,0,100,"295613, expires: 2024-01-31"
41682156,Loft in Québec · ★4.48 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.81698,-71.21937,Entire home/apt,85,1,249,2023-12-10,5.29,14,178,63,"295613, expires: 2024-01-31"
41683261,Loft in Québec · ★4.62 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.8148,-71.22061,Entire home/apt,76,1,262,2023-11-26,5.54,14,181,68,"295613, expires: 2024-01-31"
41765577,Loft in Québec · ★4.41 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.81659,-71.22086,Entire home/apt,75,1,229,2023-12-02,4.88,14,208,57,"295613, expires: 2024-01-31"
41767955,Loft in Québec · ★4.55 · Studio · 1 bed · 1 bath,376275905,Gdp,,Saint-Roch,46.81661,-71.22026,Entire home/apt,83,1,338,2023-12-09,7.15,14,0,69,"295613, expires: 2024-01-31"
41785024,Rental unit in Québec · ★4.78 · Studio · 1 bed · 1 bath,29506103,Marie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80584,-71.2173,Entire home/apt,118,1,118,2023-12-04,2.52,6,309,34,"297092, expires: 2024-01-31"
41932179,Bungalow in Québec · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,45514378,Pierre,,Sillery,46.78627,-71.24671,Private room,38,2,160,2023-12-08,3.94,3,8,43,"305991, expires: 2024-08-31"
41950834,Condo in Québec · ★4.90 · 2 bedrooms · 2 beds · 1 bath,9665972,Helene,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81408,-71.21275,Entire home/apt,138,1,40,2023-12-08,1.11,16,87,24,"302164, expires: 2024-05-31"
42003924,Home in Québec · ★4.88 · 3 bedrooms · 5 beds · 1.5 baths,331410202,Christian,,Notre-Dame-des-Laurentides,46.92392,-71.35238,Entire home/apt,169,1,96,2023-10-22,2.05,1,77,23,"298726, expires: 2024-07-31"
42372168,Rental unit in Québec · ★4.65 · 1 bedroom · 1 bed · 1 bath,40736086,Jonathan,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81791,-71.20969,Entire home/apt,161,2,31,2023-10-06,1.27,6,272,15,"300177, expires: 2024-08-31"
42372202,Rental unit in Québec · ★4.93 · 4 bedrooms · 8 beds · 3.5 baths,40736086,Jonathan,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81572,-71.21018,Entire home/apt,513,2,54,2023-11-25,1.82,6,244,29,"300177, expires: 2024-08-31"
42470907,Hostel in Québec · ★4.58 · 1 bedroom · 14 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80521,-71.21722,Shared room,24,1,237,2023-11-29,5.69,19,354,52,"300716, expires: 2023-12-31"
42492884,Hostel in Québec · ★4.46 · 1 bedroom · 11 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80553,-71.21667,Shared room,32,1,56,2023-10-01,1.41,19,360,22,"300716, expires: 2023-12-31"
42493032,Hostel in Québec · ★4.63 · 1 bedroom · 8 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80724,-71.21666,Shared room,35,1,71,2023-12-01,2.47,19,0,34,"300716, expires: 2023-12-31"
